titres_potions;liens;desc_globale;effects;Groupes_actions;difficulté;Propriété_chimique;Couleur;inventeur;ingredients;premiere_apparition;lien_image
Potion d'Actée en épi;https://harrypotter.fandom.com/fr/wiki/Potion_d%27Act%C3%A9e_en_%C3%A9pi;La potion d'Actée en épi (  angl.  Baneberry Potion ) est vraisemblablement un poison fait à partir d'actée en épi.;Poison;Poison;Intermédiaire;Liquide;Rouge;;['Actée en épi'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/0/05/Potion_d%27Act%C3%A9e_en_%C3%A9pi.jpg/revision/latest?cb=20151123213442&path-prefix=fr
Potion affaiblissante;https://harrypotter.fandom.com/fr/wiki/Potion_affaiblissante;La potion affaiblissante (  angl.  Weakness Potion ) est une potion qui affaiblit physiquement et mentalement le buveur.;Affaiblit;Affaiblissant;Intermédiaire;Liquide;Jaune;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/4/46/Potion_affaiblissante.jpg/revision/latest?cb=20151116171804&path-prefix=fr
Potion d'Aiguise-Méninges;https://harrypotter.fandom.com/fr/wiki/Potion_d%27Aiguise-M%C3%A9ninges;La potion d'Aiguise-Méninges (  angl.  Wit-Sharpening Potion ) est probablement un breuvage magique qui permet à celui qui le boit de mieux réfléchir. Cette potion neutralise également les effets du sortilège de Confusion. La potion serait composé de divers ingrédients qui comprendraient entre...;Stimule la réflexion;Fortifiant;Débutant;Liquide;Violet;;['Poudre brune', 'Bile de tatou', 'Épine de porc-épic'];Harry Potter et la Coupe de Feu;https://static.wikia.nocookie.net/harrypotter/images/6/65/Potion_d%27Aiguise-M%C3%A9ninges.jpg/revision/latest/scale-to-width-down/350?cb=20170430122817&path-prefix=fr
Potion d'Amnésie;https://harrypotter.fandom.com/fr/wiki/Potion_d%27Amn%C3%A9sie;La potion d'Amnésie (  angl.  Forgetfulness Potion ) est un breuvage qui provoque une perte de mémoire chez celui qui en boit. La recette est présente dans le livre Potions magiques d'Arsenius Beaulitron. Ajouter 2 gouttes d'eau du fleuve Léthé dans le chaudron Faire chauffer à feu doux pendant...;Fait perdre la mémoire;Contrôle-mental;Débutant;Liquide;Rose;;['Eau du fleuve Léthé', 'Baie de gui', 'Ingrédient standard', 'Valériane'];Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/f/f8/Potion_d%27Amn%C3%A9sie.png/revision/latest?cb=20120419132106&path-prefix=fr
Onguent d'amnésie du Dr Oubbly;https://harrypotter.fandom.com/fr/wiki/Onguent_d%27amn%C3%A9sie_du_Dr_Oubbly;L'onguent d'amnésie du Dr Oubbly (  angl.  Dr. Ubbly's Oblivious Unction ) est une potion qui permet d'atténuer les effets des pensées. Madame Pomfresh applique de l'onguent d'amnésie du Dr Oubbly sur les blessures infligées par les tentacules de cerveau du Département des mystères. (  réf.  La...;Fait perdre la mémoire;Contrôle-mental;Intermédiaire;Liquide;Inconnue;Dr Oubbly;0;Harry Potter et l'Ordre du Phénix;
Amortentia;https://harrypotter.fandom.com/fr/wiki/Amortentia;L'Amortentia est le plus puissant philtre d'amour au monde. L'Amortentia peut être identifiée grâce à sa couleur nacrée, sa vapeur qui s'élève en spirales et l'odeur attirante qu'elle dégage, différente pour chacun. Horace Slughorn prépare quelques potions que les élèves devraient être capables...;Rend amoureux;Contrôle-mental;Avancé;Fumant;Nacré;;0;Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/0/05/Amortentia.jpg/revision/latest/scale-to-width-down/350?cb=20120406193500&path-prefix=fr
Philtre d'amour;https://harrypotter.fandom.com/fr/wiki/Philtre_d%27amour;Le philtre d'amour (  angl.  Love Potion ) est le nom générique de potions qui rendent temporairement le receveur amoureux du donneur. De nombreux philtres ont été créés par Laverne de Montmorency. Les œufs de Serpencendre gelés entrent dans la composition des philtres d'amour. Le philtre...;Rend amoureux;Contrôle-mental;Avancé;Liquide;Inconnue;Laverne de Montmorency;['Oeuf de Serpencendre', 'Poudre rouge sombre', 'Poudre bleue', 'Poudre jaune', 'Poudre verte'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/2/20/Philtre_d%27amour.png/revision/latest?cb=20170121121428&path-prefix=fr
Antidote à un philtre d'amour;https://harrypotter.fandom.com/fr/wiki/Antidote_%C3%A0_un_philtre_d%27amour;L'antidote à un philtre d'amour (  angl.  Love Potion Antidote ) est une potion permettant d'annuler les effets d'un philtre d'amour. Après que Ron a mangé des chocolats au philtre d'amour, Harry l'emmène chez le professeur Slughorn pour lui demander un antidote. Le professeur les laisse entrer...;Antidote aux philtres d'amour;Antidote;Intermédiaire;Liquide;Rose;;['Écorce de wiggentree', 'Huile de ricin', 'Extrait de Ravegourde'];Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/f/f2/Antidote_%C3%A0_un_philtre_d%27amour_2.jpg/revision/latest/scale-to-width-down/350?cb=20170430170529&path-prefix=fr
Onguent anti-brûlure;https://harrypotter.fandom.com/fr/wiki/Onguent_anti-br%C3%BBlure;L'onguent anti-brûlure (  angl.  Burn-Healing Paste ) est une potion de guérison qui est utilisée pour guérir les brûlures. D'après Harry Potter : Secret à Poudlard, cet onguent est inefficace pour guérir les brûlures engendrées par le sortilège maléfique Protego Diabolica. Dans Secret à...;Guérir les brûlures;Soin;Intermédiaire;Pateux;Orange;;0;Harry Potter et la Coupe de Feu;
Potion anti-feu;https://harrypotter.fandom.com/fr/wiki/Potion_anti-feu;La potion anti-feu (  angl.  Fire-Protection Potion ) est une potion qui protège son buveur contre les flammes pendant une courte durée. Potion des flammes noires Potion des flammes violettes;Protège du feu;Fortifiant;Avancé;Liquide;Inconnue;;0;Harry Potter et les Reliques de la Mort : 1ère partie (jeu);https://static.wikia.nocookie.net/harrypotter/images/b/b8/Effets_potion_anti-feu_2.jpg/revision/latest/scale-to-width-down/350?cb=20161015194138&path-prefix=fr
Solution anti-Nargoles;https://harrypotter.fandom.com/fr/wiki/Solution_anti-Nargoles;La solution anti-Nargoles (  angl.  Narglicide ) est une fausse potion censée repousser les Nargoles, des créatures imaginaires. Un jour, Philbert Chivers se rend à Slug & Jiggers et exige qu'on lui fournisse un produit contre les Nargoles. Pour se débarrasser de lui, Humphrey prend de vieilles...;Repousse les Nargoles;Affaiblissant;Débutant;Liquide;Multicolore;Humphrey Balsamo;['Potion raté'];Les Animaux Fantastiques : Enquêtes dans le Monde des Sorciers;https://static.wikia.nocookie.net/harrypotter/images/0/03/Solution_anti-Nargoles.jpg/revision/latest/scale-to-width-down/350?cb=20170425163406&path-prefix=fr
Potion anti-paralysie;https://harrypotter.fandom.com/fr/wiki/Potion_anti-paralysie;La potion anti-paralysie (  angl.  Anti-Paralysis Potion ) soignant la paralysie de celui qui la boit. De la potion anti-paralysie est vendue à la boutique de l'apothicaire sur le Chemin de Traverse pour vingt mornilles.;Empêche la paralysie;Fortifiant;Intermédiaire;Liquide;Rose;;0;Harry Potter et la Chambre des Secrets (jeu);https://static.wikia.nocookie.net/harrypotter/images/c/ce/Potion_anti-paralysie.png/revision/latest?cb=20170512125324&path-prefix=fr
Antidote au Veritaserum;https://harrypotter.fandom.com/fr/wiki/Antidote_au_Veritaserum;L'antidote au Veritaserum (  angl.  antidote to Veritaserum ) permet de contrer les effets du Veritaserum. Quand Dumbledore demande à Harry de récupérer le souvenir d'Horace Slughorn au sujet de Tom Jedusor, Harry réplique qu'il serait plus simple d'utiliser du Veritaserum, ce à quoi Dumbledore...;Antidote au Veritaserum;Antidote;Avancé;Liquide;Inconnue;;0;Harry Potter et le Prince de Sang-Mêlé;
